tweet	date
A draft of the sweeping new Hong Kong national security law — which Beijing reportedly passed today — had not been made public, meaning the majority of people in Hong Kong have not seen details of a law that will govern their lives. https://t.co/Myillmvxbs 	2020-06-30
China has reportedly passed a wide-reaching national security law for Hong Kong, which many fear could be used to override existing legal processes and further erode the city's civil and political freedoms. https://t.co/CE5E599l1D 	2020-06-30
BREAKING: China has reportedly passed a wide-reaching national security law for Hong Kong, which many fear could be used to override existing legal processes and further erode the city's civil and political freedoms. https://t.co/vFFWSLoKG7 	2020-06-29
Concerns over separatism can be seen in the hardline policies adopted by Beijing in Xinjiang, Tibet, Hong Kong, and Taiwan. Yet such policies can often backfire | Analysis by @jgriffiths https://t.co/48UXIwFxhc 	2020-06-29
The Trump administration has announced visa restrictions on current and former Chinese officials who it says "were responsible for eviscerating Hong Kong's freedoms," Secretary of State Mike Pompeo said in a statement. 	2020-06-26
China is introducing a sweeping national security law for Hong Kong that has sparked protest, fear and controversy in the semi-autonomous city. 	2020-06-26
The Senate has passed a pair of bills by unanimous consent that would punish China for moves it's making that lawmakers fear will crush democratic freedoms in Hong Kong. 	2020-06-25
"I moved to Hong Kong on the day of a huge protest marking China's National Day on October 1 and thought it would probably be the wildest experience I'd have all year. Two months later ... I found out that I had breast cancer," writes @lilitmarcus https://t.co/kHLXTr3De5 	2020-06-18
Rodrigo Duterte's muzzling of the press in the Philippines could present a model for authorities in Hong Kong, where a sweeping new national security law is due to be imposed in coming weeks | Analysis by @jgriffiths https://t.co/yx1A3MjdnS 	2020-06-16
Rodrigo Duterte's muzzling of the press in the Philippines could present a model for authorities in Hong Kong, where a sweeping new national security law is due to be imposed in coming weeks | Analysis by @jgriffiths https://t.co/5BQDEeTsVt 	2020-06-16
Rodrigo Duterte's muzzling of the press in the Philippines could present a model for authorities in Hong Kong, where a sweeping new national security law is due to be imposed in coming weeks | Analysis by @jgriffiths https://t.co/MmprH8wnSN 	2020-06-16
Secretary of State Mike Pompeo's meeting comes as tensions between the US and China have been escalating for months, as a result of the coronavirus pandemic and the Chinese legislature vote to impose a highly contentious national security law in Hong Kong. https://t.co/XnrLl1r8p0 	2020-06-15
On June 18, Hong Kong Disneyland will become the world's second Disney park to reopen. https://t.co/Gr7cK6sCs2 	2020-06-15
Twitter said Thursday that it had shut down more than 170,000 accounts tied to the Chinese government. Experts working with Twitter who reviewed the accounts said they pushed deceptive narratives around the Hong Kong protests, Covid-19 and other topics. https://t.co/Vh9eZwj6ZP 	2020-06-14
Twitter said Thursday that it had shut down more than 170,000 accounts tied to the Chinese government. Experts working with Twitter who reviewed the accounts said they pushed deceptive narratives around the Hong Kong protests, Covid-19 and other topics. https://t.co/SJf5P8CNJ0 	2020-06-13
Twitter announced that it had shut down more than 170,000 accounts tied to the Chinese government. Experts working with Twitter who reviewed the accounts said they pushed deceptive narratives around the Hong Kong protests, Covid-19, and other topics. https://t.co/xtjhrChgKC 	2020-06-12
Twitter announced that it had shut down more than 170,000 accounts tied to the Chinese government. Experts working with Twitter who reviewed the accounts said they pushed deceptive narratives around the Hong Kong protests, Covid-19, and other topics. https://t.co/9yO6v6IS4l 	2020-06-12
Twitter announced that it had shut down more than 170,000 accounts tied to the Chinese government. Experts working with Twitter who reviewed the accounts said they pushed deceptive narratives around the Hong Kong protests, Covid-19, and other topics. https://t.co/NMecCZBml6 	2020-06-11
The Hong Kong government has agreed to lead a $5 billion bailout of Cathay Pacific, taking a minority stake in the city's beleagured flagship carrier https://t.co/rcQARYtStl 	2020-06-09
Thousands of Hong Kongers defied a police ban Thursday to gather in the city's Victoria Park and mark the 31st anniversary of the Tiananmen Square massacre. https://t.co/T2MVV99crv 	2020-06-04
For years, a candlelit rally in Hong Kong has taken place as the only mass memorial of the Tiananmen massacre held on Chinese soil and a key emblem of the semi-autonomous city's political freedoms. Every year, that is, until this year. https://t.co/kQWkLbIbRJ 	2020-06-04
British Prime Minister Boris Johnson has promised to provide a path to British citizenship for potentially millions of Hong Kongers, as China prepares to impose a draconian new national security law on the city. https://t.co/z5MWGUOqqv 	2020-06-03
President Trump calling protesters “thugs” was a response that might have appeared on the pages of China's own government-controlled newspapers about Hong Kong | Analysis by @jgriffiths https://t.co/kITFr11Cdg 	2020-06-01
An annual vigil commemorating the 1989 Tiananmen Square massacre will not take place in Hong Kong this year, after police refused organizers permission to hold a mass gathering during the coronavirus pandemic. https://t.co/8e4zyK13PS 	2020-06-01
Trump's announcement was a multi-part salvo in what's been a steadily escalating confrontation that's now being played out over trade, telecom, the media, student visas, the South China Sea, coronavirus &amp; most recently, the question of Hong Kong's autonomy https://t.co/Aw061m4amv 	2020-05-29
The UK govt. is mulling giving greater visiting rights to certain Hong Kong residents, unless the Chinese government suspends a controversial proposed national security law. This could make it easier for those residents to one day apply for UK citizenship. https://t.co/6WUMSYvEw7 	2020-05-28
China's legislature has approved a proposal to impose a highly contentious national security law in Hong Kong, in an unprecedented move that critics say threatens fundamental political freedoms and civil liberties in the semi-autonomous territory. https://t.co/n4BA19P1Ra 	2020-05-28
A Hong Kong official sought to reassure those who have expressed concern that the controversial security law being drafted by the Chinese govt. would breach a pledge to respect Hong Kong's autonomy until 2047. 	2020-05-27
JUST IN: Sec. of State Mike Pompeo certified to Congress that Hong Kong no longer enjoys a high degree of autonomy from China. This could result in the loss of HK’s special trading status with the US and threaten its standing as a financial hub https://t.co/S0YiSGjxtz 	2020-05-27
"It is within each and every nation's [sovereign] right to address its national security concerns." 	2020-05-27
As the world continues to reel from the coronavirus pandemic, China is flexing its muscles in Hong Kong, the South China Sea and along its border with India, all the while ramping up aggressive rhetoric towards Taiwan and the US | Analysis by @jgriffiths https://t.co/VlCQl8yKuW 	2020-05-27
Stanley Ho was born in Hong Kong in 1921, and made his fortune transforming the neighboring city of Macao into a gambling hub that later was dubbed the "Las Vegas of Asia." https://t.co/fvXjuE5VyC 	2020-05-26
China's top military commander in Hong Kong has emphasized the role of the People's Liberation Army in upholding "national sovereignty" in the city a day ahead of expected anti-government protests. https://t.co/GDXnhQvNIF 	2020-05-26
The last time the US and China reached a point of confrontation over Hong Kong, Pres. Trump had a strong incentive to play it cool. Now, as China tries to impose a new security law on the territory, the opposite may be the case. | Analysis by @StCollinson https://t.co/e5P0RqLyMH 	2020-05-25
The last British colonial governor of Hong Kong, six US senators including Ted Cruz and Marco Rubio, and numerous UK, European Union, Australian and New Zealand members of parliament are among the signatories to an open letter slamming the bill https://t.co/5g4cHliiQV 	2020-05-25
The last British colonial governor of Hong Kong, six US senators including Ted Cruz and Marco Rubio, and numerous UK, European Union, Australian and New Zealand members of parliament are among the signatories to an open letter slamming the bill https://t.co/PPSeepSpJa 	2020-05-25
The president of Taiwan, where sympathy protests were held in support of Hong Kong over the weekend, vowed to "provide Hong Kong's people with necessary assistance." https://t.co/Kxrncaw2mX 	2020-05-25
President Trump's track record gives China little reason to fear he'll draw a line in the sand over further encroachments on Hong Kong's autonomy | @sam_vinograd for @cnnopinion https://t.co/aQAD0rcnoP 	2020-05-25
Police have fired tear gas after thousands of protesters took to the streets of Hong Kong to oppose the Chinese government's move to impose a controversial national security law, which threatens the city's autonomy and civil liberties. https://t.co/D1lfe1jUyu 	2020-05-24
"At issue is whether Hong Kong is governed by its own laws, under the semi-autonomous status that has made it an enclave of relative democracy and liberalism ... or under China's," Joy Park writes for @CNNOpinion https://t.co/XEVKIsxX6S 	2020-05-23
The Trump administration is attempting to galvanize international anger at China's repressive Hong Kong human rights law to rally allies behind the White House's aggressive approach to Beijing. But the effort is receiving pushback from business leaders. https://t.co/ikbjBrh4UX 	2020-05-22
Here are business stories you need to read today. 	2020-05-22
Secretary of State Mike Pompeo has condemned China's proposed national security law for Hong Kong, warning that the passage of the legislation would be a "death knell" for Hong Kong's autonomy. https://t.co/46UVCKI0o4 	2020-05-22
Secretary of State Mike Pompeo has condemned China's proposed national security law for Hong Kong, warning that the passage of the legislation would be a "death knell" for Hong Kong's autonomy. https://t.co/IIhyTjo6Kf 	2020-05-22
Hong Kong's Hang Seng Index dropped more than 5% on Friday after news broke that Beijing would move to pass a hugely controversial national security law for the Asian financial hub. https://t.co/MjrmiGM4Ys 	2020-05-22
China's rubberstamp parliament has announced that a new national security law in Hong Kong will be on the agenda at its upcoming meeting, a move likely to fuel further anger and protests in the semi-autonomous city. https://t.co/3LIOSbeSrh 	2020-05-21
Hong Kong will try to test around 860 people living in two apartment buildings for coronavirus, after a third locally transmitted case of Covid-19 was identified as part of a new cluster in the city. https://t.co/HaYDgROigX 	2020-05-14
After five months of being at the forefront of the coronavirus pandemic, new infections in Hong Kong have slowed to a trickle, and the city is slowly getting back to normal. Which, these days, means protests. Analysis by @jgriffiths https://t.co/btQYloVCG4 	2020-05-13
People in Hong Kong are falling ill from a hepatitis virus found in rats -- but nobody knows how they're being infected. https://t.co/mSACOATZcb 	2020-05-10
People in Hong Kong are falling ill from a hepatitis virus found in rats -- but nobody knows how they're being infected. https://t.co/uyHDvXbG5u 	2020-05-09
A combination of three antiviral drugs plus an immune system booster seemed to help patients recover more quickly from coronavirus infections, doctors in Hong Kong report https://t.co/H6de1HOIDy 	2020-05-08
What's it like to have a wedding during a global pandemic? 	2020-05-08
Hong Kong International Airport has provided a glimpse into what post-coronavirus airport procedures might look like once we're traveling again, and a lot of disinfection technologies are involved. https://t.co/3QcPII1nyw 	2020-04-28
Cleaning robots, temperature checks and antimicrobial coatings could soon become synonymous with airport trips. Hong Kong International Airport provides a glimpse into what things might be like once we're traveling again. https://t.co/7W5YiZ1oE7 	2020-04-28
It's impossible to self-isolate for those who live in Hong Kong's "cage homes," subdivided apartments that often have space for only a bed and some clothes. For one resident, respite from the mental health effects of the pandemic can't come soon enough. https://t.co/EuHw13shsk 	2020-04-27
It's impossible to self-isolate for those who live in Hong Kong's "cage homes," subdivided apartments that often have space for only a bed and some clothes. For one resident, respite from the mental health effects of the pandemic can't come soon enough. https://t.co/fkFiHKqAM8 	2020-04-26
Torbjørn "Thor" Pedersen is on a mission to visit every country in the world in a single journey, without taking any flights. 	2020-04-23
The coronavirus pandemic has put a damper Hong Kong's anti-government protests. But anger in the city has not gone away, nor has the protest movement gone completely dormant. https://t.co/KAT72pLwCG 	2020-04-21
Hong Kong reported no new confirmed cases of novel coronavirus for the first time in more than six weeks https://t.co/ECvBo4FacH 	2020-04-20
In Hong Kong, people who have been exposed to coronavirus can get sent to government quarantine centers for isolation — even if they don’t have any symptoms. 	2020-04-12
In Hong Kong, people who have been exposed to coronavirus can get sent to government quarantine centers for isolation — even if they don’t have any symptoms. 	2020-04-11
In Hong Kong, people who have been exposed to coronavirus can get sent to government quarantine centers for isolation — even if they don’t have any symptoms. 	2020-04-09
In Hong Kong, people who have been exposed to coronavirus can get sent to government quarantine centers for isolation — even if they don’t have any symptoms. 	2020-04-09
In Hong Kong, people who have been exposed to coronavirus can get sent to government quarantine centers for isolation — even if they don’t have any symptoms. 	2020-04-09
Renowned billionaire art collector Adrian Cheng has announced plans to distribute millions of surgical face masks free of charge during the coronavirus pandemic, using 35 specially built vending machines placed in various locations around Hong Kong. https://t.co/Er6Ku8D4mx 	2020-04-08
When the coronavirus outbreak reached Hong Kong, domestic worker Jinkie Alhambra followed guidance from the government and stayed home on her day off. 	2020-04-04
Hong Kong is closing all beauty parlors, clubhouses, nightclubs, karaoke rooms and mahjong centers as the city fights a second wave of coronavirus https://t.co/DdDbMbejlt 	2020-04-01
A 31-year-old man has been sentenced to three months in prison for falsifying his name and address in an attempt to evade Hong Kong's mandatory self-isolation measures https://t.co/bztuWC6WHl 	2020-03-30
President Trump says he wants the nation "opened up and just raring to go" by April 12. Hong Kong's new wave of cases shows what happens when you go back to work too soon. https://t.co/0DeadMs79M 	2020-03-25
The number of confirmed coronavirus cases in Hong Kong has almost doubled in the past week, with many imported from overseas, as residents returned from abroad and brought the virus back with them. https://t.co/saFhAbl7u9 	2020-03-23
In Hong Kong, friction is rising between expats and locals over whether to wear face masks https://t.co/jPVIABPR8M 	2020-03-18
Hong Kong has kept its number of coronavirus cases comparatively low. 	2020-03-18
"Aggressive, timely interventions are key to beating the virus. ... Even countries with steep increases in coronavirus caseloads can still use the lessons learned from places like Hong Kong and Singapore," Michael Bociurkiw writes for @CNNOpinion https://t.co/GilG0jOoIm 	2020-03-14
Hong Kong is giving all adult permanent residents $1,200 https://t.co/5u1tkrpRZL 	2020-03-01
Hong Kong is giving all adult permanent residents $1,200 https://t.co/YRiZRpJ38i 	2020-02-29
A dog whose owner tested positive for the novel coronavirus has been placed in quarantine after it tested a "weak positive" for the illness, Hong Kong authorities said https://t.co/YLbxojRPaE 	2020-02-29
Hong Kong is giving all adult permanent residents $1,200 https://t.co/1dPtwpcJqK 	2020-02-29
The coronavirus outbreak in Hong Kong comes after an extended period of social unrest. Protests appear to have fizzled out, but the movement lives on during the outbreak as many openly challenge the government's response. Watch "Go There" on Facebook, 8pET https://t.co/yoLUCwGZjS https://t.co/Swb2ur9GB0 	2020-02-28
Jimmy Lai's newspaper has emerged as one of the fiercest critics of the Hong Kong government and its Beijing masters, making the 70-year-old a figure of loathing for pro-Beijing politicians and media https://t.co/5qx0HAoIdt 	2020-02-28
Hong Kong authorities have placed a pet dog into quarantine after it tested as “weak positive” for the novel coronavirus, officials say https://t.co/NUwp2vFnqe 	2020-02-27
Hong Kong is giving all adult permanent residents $1,200 https://t.co/1wGXTjXHF9 	2020-02-27
Hong Kong is giving all adult permanent residents $1,200 https://t.co/eNezRaSZrG 	2020-02-26
Hong Kong is giving all adult permanent residents $1,200 https://t.co/YwhYSpgDkm 	2020-02-26
Hong Kong is giving all adult permanent residents $1,200 https://t.co/sIqSuCwqSD 	2020-02-26
Air Canada is extending its suspension of flights between Canada and Beijing and Shanghai until April 10, and daily non-stop flights from Toronto to Hong Kong until April 30, according to the airline https://t.co/oUv8l0Czs1 	2020-02-25
Hong Kong has announced that all classes in schools will be further suspended until at least April 19 to prevent the spread of the novel coronavirus. https://t.co/nGW4rxYf3G 	2020-02-25
Hong Kong has announced that all classes in schools will be further suspended until at least April 19 to prevent the spread of the novel coronavirus. https://t.co/fNOZCFiVCO 	2020-02-25
Hong Kong had barely begun returning to normal after more than six months of often violent protests when the coronavirus outbreak hit. 	2020-02-19
Hong Kong had barely begun returning to normal after more than six months of often violent protests when the coronavirus outbreak hit. 	2020-02-19
In major hubs like Hong Kong and Singapore, millions of people are holed up in their apartments in what may be the world's biggest work-from-home experiment. https://t.co/eusXMZSOVu 	2020-02-17
Police in Hong Kong have arrested two men and are searching for a third after the group stole about 600 rolls of toilet paper, in a robbery likely sparked by coronavirus fears that have gripped the city. https://t.co/F472J8A68m 	2020-02-17
United Airlines said that it will extend the suspension of flights to China and Hong Kong until April 24. 	2020-02-12
Hong Kong health officials are investigating whether an unsealed pipe could have led to the coronavirus spreading through an apartment building's bathroom ventilation system. 	2020-02-12
Health officials in Hong Kong have confirmed seven additional cases of the coronavirus, bringing the city-wide total to 49. https://t.co/jf3qocBC1f 	2020-02-11
